Name,UserRating,Holds,Grade
BALU ESTÁS GRANDE!,3,A5 F4 G10 B13 F16 F18,6
TRYING TO GET A GRIP 2,2,H5 F5 F8 I7 H10 D10 E13 G13 E16 C16 B18 F18,2
BALU DAS AMARELAS,3,C3 H4 D9 F13 C15 F18,3
VIRUS DE NADAL,3,K5 H6 J8 J11 F10 G14 J16 J1 G18 E18,4
DOYOUTHINKHESAURUS,2,F5 I7 H10 C10 E13 C16 B18,2
TRYING TO GET A GRIP,3,D4 H5 I7 F8 H10 D10 E13 C14 C16 B18 A18,2
EVOOOOON,3,A5 E6 D9 J8 J10 G13 J16 E18,4
BALU VÊ DO CU,0,A3 D6 A8 F11 B14 D17 A18,4
PINCHOUT,2,C4 F5 G10 G13 J15 C9 I18,5
POWERLINE,3,B4 A3 E8 C10 G13 E16 J18,4
LIKE WOOD LIKE,0,E5 B5 E9 I9 H13 J15 I18,10
BUTCHER OF BLAVIKEN,2,E4 H1 I6 H9 J11 H15 H18,5
GOOD WILL PUNTING,3,B2 E6 D9 G10 G13 C16 K6 H18,2
RLYEZPZ,2,F5 H5 H10 G13 E13 E16 D8 F18,2
JACOMOS,3,I2 D4 D7 D9 J8 G13 G15 J18,3
DE RESACA,0,D1 H5 I9 D9 D16 H14 D18,7
BLACK MIST,0,F5 A6 C7 F7 B10 B13 D12 D15 D18 F18,2
RED BLACK N WHITE,2,A5 D4 C7 C10 F12 G13 K11 K15 J16 H18,2
THE PERFECT IN BETWEEN,2,J4 G4 J8 K11 H14 H15 D18,6
KAKAKKSAKAJ,2,H5 J6 F8 F12 E13 D15 C16 A9 C4 E18,2
ALMOST GOOD CLIMBERS,2,H5 B3 H6 D9 F12 J13 J15 H15 K10 I18,4
HARD AS OUT,2,D4 H5 F5 F8 H10 F12 G13 C16 F18,2
OSKAR,2,E3 H5 E7 G10 E13 E16 F18,2
TRU LIGHT BRIGHT,2,F5 H5 I7 I8 H9 H10 F12 E13 D15 C16 A14 C10 E8 B18,2
VERDUN EASY,3,H5 D5 G7 G10 D9 C13 B13 A14 B18,3
SHABOOYA,2,E3 I3 F6 G11 I10 E13 J16 J18,6
IS OK?!,3,G4 J4 G8 G10 J13 E15 F17 B18,3
スクール$,3,H5 F6 G8 H9 H10 J11 I12 G13 H14 H15 H17 F18,2
スクール,3,F6 H5 G8 H9 H10 J11 I12 G13 H14 H15 G16 H17 F18,2
DINI MUÄTTER,2,E4 A2 B9 G8 F7 G13 G16 K11 D18,5
LEAPFROG,2,J4 F2 I8 D9 G13 H18,6
ROUND IT,2,F5 H7 J9 I12 I14 E14 J3 E18,6
V3 KEKO,2,H5 J4 G2 C4 D6 F8 H10 F12 E13 D15 C16 A11 K17 E18,2
FARUMPI,2,I6 K4 K7 I11 I13 E15 E18,4
BUM BUM CHAO,2,G4 F4 E7 J8 H11 H15 K13 J18,6
DANKE FÜR DIE GUTE IDEE,2,I3 E3 F8 I7 H10 G13 J16 H18,2
MANUELS BOULDER,2,F5 H5 F7 F8 H9 H10 D10 E13 G14 G2 D2 F18 H18,0
THE REAL ZEAL,0,J5 H7 I9 E9 E12 H13 H16 I18,7
BALLROOM BANGER,2,F5 I5 I8 H10 G13 D15 F18,2
スクール#,1,E4 F3 F6 F8 D9 E11 D12 C13 D15 E16 E18,3
NORTHUMBERLAND 6B,2,G3 I6 D5 F10 E12 H14 F16 I18,6
スクール€,2,F5 D5 D9 F8 E11 F12 E13 C16 D18,2
DALUNDI,2,A6 B3 H4 E7 F10 H13 H16 I18,3
BERGWERK,2,K3 J4 H8 H9 D11 F14 J13 H18,7
GWEN’S BOULDER,2,A5 E3 F8 D10 F12 G13 J16 H18,3
DIGGING DEEP,0,D3 H5 D7 B8 A11 D14 D16 H16 J18,6
TROUT CREEK 03,2,E3 H5 I7 I8 F8 H10 J11 G13 J16 J2 D2 H18,2
VU DE L’EXTÉRIEUR,3,G3 G6 K9 I12 H12 D14 G17 B18,4
BE HOSCH,2,H5 I7 F8 J11 E13 C16 K4 B18,2
DOUBLE - SWING,2,K2 G6 J8 H11 I12 E13 D13 C13 G17 A6 K18,7
JÖMP,0,D3 G4 F7 F12 F18,4
ATTENTION: TENSION!,2,I4 D5 F11 H14 J15 J9 J18,7
EASIER FOR THE FATTIER,2,F5 B8 E11 C13 C16 D18,4
ZANGEN,3,H5 F2 K2 K9 G8 H11 G13 F18,4
BABY GIRAFFE #2,3,G4 D5 F7 B9 E12 D13 D15 A18,4
PARUMPI,2,C6 H4 E7 F9 I11 F13 G15 D16 E18,2
PROBLEM #3,2,F5 B4 D9 G7 F13 C15 E18,4
ELNU,3,F6 I4 G8 D9 E11 D12 G13 E16 F18,4
WORM UP,2,F5 F8 H10 D12 E13 D15 C16 B18,2
IT'S MY STYLE,0,F5 B8 E14 G13 K11 D18,7
MDR,2,K6 G6 K9 H11 H13 E14 F16 J1 D18,6
RECOVERY,2,F4 E6 E8 A11 B14 A15 A18,0
UNICORN FUN RUN,2,F6 H5 F8 F9 D10 F12 E13 C16 D2 B18,2
RIPPLE,0,H3 G6 J8 J12 G15 B15 E9 H18,8
DINO-MITE,2,H5 I7 F8 J11 E13 E16 B18,2
BELLA THE RAINBOW PUPPY,2,C4 B4 A5 C7 B8 C10 A11 B13 D15 C16 D18,2
DANDI,3,J5 K4 D4 H7 C9 E12 F13 I15 I18,5
EASY YELLOW,2,C4 G8 D11 F13 F14 H18,5
HOLY DEER,0,B2 F2 J3 H7 G7 G12 B12 B13 B16 C18,10
PILLAR OF EMBERS,3,I3 E3 H8 G11 K14 J18,3
PRINCESS ELLA 2.0,2,F5 E6 I8 H10 E11 G13 D15 J4 G1 F18,0
HAVE YOU SEEN MY DILLY?,2,E4 J2 C2 E8 A11 A14 A16 F15 F18,4
BRUTAL,2,H5 F6 G8 H10 J13 I16 H16 F18,4
PEPITO JACK,2,F5 F6 I7 H10 G13 D15 C16 B18,2
EZ WARMUPS,3,H5 G8 C7 C10 G12 D15 F18,2
NOT STRONG ENOUGH,0,E6 I5 G2 E9 F12 C16 A18,5
JDL5,2,F4 F5 E8 I8 H10 K13 G16 J18,4
BENCHMARKS ARE SOFT,0,H5 H8 D10 C16 J18,5
SNAKE BITE,0,B5 H5 A10 B11 C15 A18,9
SCC #6B+,0,F5 F8 G11 J14 I16 K18,4
FUN TIMES,0,K3 J3 H6 H10 D9 G13 K15 F18,4
ESTÍRATE PERRO,2,D5 F3 G8 D10 E13 H18,3
PABLOBARBAS,0,I5 F4 H10 G13 K13 H18,3
PEPITO WALL,0,D5 H5 E8 D9 D12 C13 C16 F18,4
UNDIES,0,F2 H1 I5 H9 G12 D13 F16 H18,8
ALVARITRONIC,0,E4 H3 E8 E11 H11 C13 D16 E17 H18,4
CRUSTY SOCK,0,B2 E5 E8 D10 I12 J13 J16 H18,7
PINCHEESE,0,D3 F3 B8 E11 B15 C18,8
FINGER NINJA,2,H2 K5 F7 F10 H9 F13 C15 F18,5
MEZZODITO AR CULO,0,D3 F3 C8 F11 G14 K17 K18,9
DOBLE DINO,0,E4 H3 D2 E8 G8 G13 E13 I18 C18,7
GLÜHWEIN DRUNK,0,J2 J4 I7 D10 E14 B15 E17 F17 J18,7
ALKAYB,2,A5 F5 H2 D9 J11 K15 G14 J18,2
OBSTRUCTIONISM,0,J6 J3 J8 D9 G12 H13 J15 H18,7
GENISPA,2,D4 H5 H10 D9 E13 J16 H18,2
NHAN 1,2,H5 J4 G2 C4 D6 F8 H10 F12 E13 D15 C16 A11 E18,2
DITO AR CULO,0,F3 D3 C8 F11 G14 K18,11
FIRST AUREL,3,F5 A5 F8 J11 G13 I16 K5 F18,2
SILVERLINE20,0,K4 F1 E4 A3 C7 G10 D12 D15 H14 F18,4
IN PEACH MINT,0,B6 C3 B7 G8 E12 D13 B15 D18,7
FLASHY ICECREAM,2,A5 D5 C6 G8 F10 G13 C16 A18,5
